CLAVE,UBICACIÓN,ESTADO,MUNICIPIO,POBLACION,LATITUD,LONGITUD,CP,TX,EN HUELLA MBB,USUARIOS ACTIVOS MBB
56,000056-ZACATECAS-XXI,Aguascalientes,Aguascalientes,2477.560961,21.94543,-102.29632,20908,FO,MBB,338
57,000057-SUMMA,Aguascalientes,Jesus Maria,5287.569905,21.950222,-102.323806,20984,FO,MBB,488
58,000058-LOS-POCITOS,Aguascalientes,Aguascalientes,10969.06469,21.92736,-102.338071,20328,FO,MBB,440
59,000059-YALTA-CAMPESTRE,Aguascalientes,Jesus Maria,8517.358863,21.947659,-102.341327,20925,FO,MBB,882
60,000060-JESUS-MARIA,Aguascalientes,Jesus Maria,21124.10634,21.96337,-102.3422,20920,FO,MBB,1431
61,000061-INDUSTRIAL-VALLE-DE-AGS,Aguascalientes,Jesus Maria,62807.16666,21.96349,-102.2879,20906,FO,MBB,3205
62,000062-VELA,Aguascalientes,Aguascalientes,3751.93982,21.932632,-102.254726,20126,FO,MBB,2352
63,000063-PIRAMIDES,Aguascalientes,Aguascalientes,3979.790453,21.851504,-102.278435,20277,FO,MBB,494
64,000064-EL-TROJE,Aguascalientes,Jesus Maria,4493.199485,21.9402,-102.31052,20983,FO,MBB,422
65,000065-EUGENIO-GARZA,Aguascalientes,Aguascalientes,5533.396223,21.913806,-102.330583,20328,FO,MBB,483
66,000066-1227-AGUASCALIENTES,Aguascalientes,Aguascalientes,7373.498509,21.88507,-102.33727,20326,FO,MBB,821
70,000070-RINCON-DE-ROMOS,Aguascalientes,Rincon de Romos,38645.26356,22.227911,-102.317191,20400,MW,MBB,2816
77,000077-CANADA-HONDA,Aguascalientes,Aguascalientes,2846.877259,22.016608,-102.139806,20324,MW,MBB,393
80,000080-EL-LLANO,Aguascalientes,El Llano,7805.882563,21.81983,-102.10026,20339,FO,MBB,724
81,000081-OJO-DE-AGUA-MONTES,Aguascalientes,Tepezala,4122.9224,22.22036111,-102.16875,20650,FO,MBB,736
82,000082-CARCEL,Aguascalientes,Aguascalientes,17294.59462,21.879091,-102.369531,20316,MW,MBB,473
84,000084-FRANCISCO-DE-LOS-ROMOS,Aguascalientes,San Francisco de los Romo,26483.39453,22.07408,-102.26777,20300,FO,MBB,1454
